City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Malakal,SS,9.53,31.66,74.41,85,100,5.08,overcast clouds
144,Thompson,CA,55.74,-97.86,64.27,56,97,7.96,overcast clouds
145,Cayenne,GF,4.93,-52.33,77.09,1,0,0.0,moderate rain
146,Pallipattu,IN,13.34,79.44,77.61,77,69,4.34,broken clouds
147,Pala,TD,9.36,14.90,75.2,87,97,4.18,overcast clouds
148,Baykit,RU,61.67,96.37,61.52,97,99,3.24,light rain
149,Peterhead,GB,57.51,-1.80,54.5,85,16,6.55,few clouds
150,Komsomolskiy,UZ,40.43,71.72,83.41,20,3,2.08,clear sky
151,Leningradskiy,RU,69.38,178.42,34.75,95,100,6.55,overcast clouds
152,Karatau,KZ,43.17,70.47,79.75,23,0,8.19,clear sky
153,Maniitsoq,GL,65.42,-52.90,40.6,91,84,8.84,broken clouds
154,Clyde River,CA,70.47,-68.59,41.41,92,100,1.23,light rain
155,Hilo,US,19.73,-155.09,86.29,96,100,8.05,moderate rain
156,La Troncal,EC,-2.40,-79.33,76.8,84,86,1.36,light rain
157,Puerto Ayora,EC,-0.74,-90.35,71.55,89,100,5.99,overcast clouds
158,Chanasma,IN,23.72,72.12,77.32,92,78,5.5,broken clouds
159,Saint Anthony,US,45.02,-93.22,76.1,78,100,6.91,overcast clouds
160,Adelaide,AU,-34.93,138.60,51.33,85,75,6.91,broken clouds
161,Jishou,CN,28.32,109.72,78.35,84,47,1.21,scattered clouds
162,Samarai,PG,-10.62,150.67,79.48,84,49,9.91,scattered clouds
163,Sahagun,CO,8.95,-75.44,78.04,88,99,4.41,overcast clouds
164,Omboue,GA,-1.57,9.26,71.87,86,67,7.9,broken clouds
165,Kodiak,US,57.79,-152.41,54.91,62,0,8.05,clear sky
166,Vanimo,PG,-2.67,141.30,81.39,77,85,4.99,overcast clouds
167,San Carlos De Bariloche,AR,-41.15,-71.31,39.24,76,100,1.74,overcast clouds
168,Norman Wells,CA,65.28,-126.83,64.69,66,99,19.91,overcast clouds
169,Esperance,AU,-33.87,121.90,53.44,80,100,6.29,overcast clouds
170,Luwero,UG,0.85,32.47,67.03,61,95,2.39,overcast clouds
171,Vao,NC,-22.67,167.48,68.25,64,0,9.31,clear sky
172,Talnakh,RU,69.49,88.40,56.21,65,46,5.5,scattered clouds
173,Dwarka,IN,22.24,68.97,81.97,82,100,14.41,overcast clouds
174,Vostok,RU,46.49,135.88,71.6,78,0,2.17,clear sky
175,Kiama,AU,-34.68,150.87,56.57,60,6,8.01,clear sky
176,Luderitz,NA,-26.65,15.16,54.82,81,36,4.85,scattered clouds
177,Mount Isa,AU,-20.73,139.50,58.77,33,0,9.22,clear sky
178,Teodoro Sampaio,BR,-22.53,-52.17,72.64,40,0,4.85,clear sky
179,Kon Tum,VN,14.35,108.00,69.13,98,89,1.05,overcast clouds
180,Lebu,CL,-37.62,-73.65,51.55,84,2,14.97,clear sky
181,Tuktoyaktuk,CA,69.45,-133.04,55.58,57,100,20.62,overcast clouds
182,Atar,MR,20.52,-13.05,86.58,55,70,13.0,broken clouds
183,Ribeira Grande,PT,38.52,-28.70,74.68,84,32,5.73,scattered clouds
184,Rivadavia,AR,-33.19,-68.46,53.02,78,85,15.39,overcast clouds
185,Hasaki,JP,35.73,140.83,84.6,85,77,16.89,broken clouds
186,Fairbanks,US,64.84,-147.72,59.0,61,100,28.77,light rain
187,Tyumentsevo,RU,53.32,81.50,60.42,67,32,6.44,scattered clouds
188,Saskylakh,RU,71.92,114.08,71.74,67,42,8.99,scattered clouds
189,Kurilsk,RU,45.23,147.88,63.7,84,51,6.62,broken clouds
190,Mantua,IT,45.17,10.78,83.01,90,84,6.08,moderate rain
191,Maloy,NO,61.94,5.11,49.73,80,99,16.53,overcast clouds
192,Karratha,AU,-20.74,116.85,66.36,31,5,10.74,light rain
193,Narsaq,GL,60.92,-46.05,55.62,89,35,3.33,scattered clouds
