City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Russell,US,92.01,overcast clouds,32.35,-85.2,Macs
223,Itarema,BR,77.97,broken clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
225,Tessalit,ML,96.93,few clouds,20.2,1.01,
229,Tucuma,BR,76.87,overcast clouds,-0.18,-50.05,
230,Kingston,JM,83.34,light rain,18.0,-76.79,The Jamaica Pegasus Hotel
232,Pizarro,CO,78.57,light rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
233,Bathsheba,BB,81.21,few clouds,13.22,-59.52,Atlantis Hotel
234,Miri,MY,77.0,overcast clouds,4.41,114.01,"Mega Hotel, Miri"
236,Edd,ER,90.79,overcast clouds,13.93,41.69,
238,Gat,IL,79.39,clear sky,31.61,34.76,OlusHome
240,Tharad,IN,79.3,scattered clouds,24.4,71.63,Suresh Parmar
242,Umm Lajj,SA,85.64,scattered clouds,25.02,37.27,Moon light Furnished Units
245,Bida,NG,75.33,overcast clouds,9.08,6.02,Royal Suite
247,Kamalia,PK,85.26,scattered clouds,30.73,72.65,Zaidi Brothers
250,Ewa Beach,US,82.35,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
252,Cross Lanes,US,76.8,broken clouds,38.42,-81.79,Wyndham Garden Cross Lanes Charleston
257,Buraydah,SA,88.95,overcast clouds,26.33,43.98,Mövenpick Qassim
260,Makakilo City,US,80.92,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
266,Princeton,US,82.99,few clouds,25.54,-80.41,American Best Inn
274,Cumpas,MX,89.13,broken clouds,29.98,-109.78,Hotel La Palma
277,Ionia,US,80.94,clear sky,42.99,-85.07,American Inn & Suites
278,Miraflores,MX,75.85,overcast clouds,19.22,-98.81,Hotel Mansión
279,Saint-Georges,GD,80.28,scattered clouds,12.06,-61.75,Radisson Grenada Beach Resort
280,Arroyo Grande,US,83.25,clear sky,35.12,-120.59,Pismo View Inn
282,Takoradi,GH,75.16,light rain,4.88,-1.76,Raybow International Hotel
284,Billings,US,85.28,scattered clouds,45.78,-108.5,Best Western Plus Clocktower Inn
286,Puerto Santander,CO,85.41,broken clouds,8.36,-72.41,Hotel Toronto
287,Merauke,ID,76.1,overcast clouds,-8.47,140.33,
288,Salalah,OM,75.29,mist,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
289,Mitsamiouli,KM,75.87,clear sky,-11.38,43.28,Foyer ADM
294,Bubaque,GW,79.88,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
295,Dhanera,IN,76.01,broken clouds,24.52,72.02,Sri Madhav Hostel Dhanera
296,Kavieng,PG,84.22,overcast clouds,-2.57,150.8,Nusa Island Retreat
297,Kieta,PG,82.26,light rain,-6.22,155.63,Uruna Bay Retreat
300,Luwuk,ID,77.63,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
302,Tavira,PT,78.28,clear sky,37.13,-7.65,Hotel Maria Nova
305,Cukai,MY,77.88,overcast clouds,4.25,103.42,OYO 90038 Dalyla Inn Chalet
308,Catamarca,AR,75.78,broken clouds,-28.47,-65.79,Amerian Catamarca Park Hotel
309,Puerto Carreno,CO,75.13,heavy intensity rain,6.19,-67.49,Casa Hotel Victoria
310,Ribas Do Rio Pardo,BR,75.52,clear sky,-20.44,-53.76,Pousada Estação
312,Ubala,CO,75.85,broken clouds,4.75,-72.54,HATO SANTA LETICIA
318,Honiara,SB,84.96,scattered clouds,-9.43,159.95,Heritage Park Hotel
319,Fomboni,KM,76.06,clear sky,-12.28,43.74,Auberge les abou
324,Ugoofaaru,MV,81.77,broken clouds,5.67,73.0,Ungoofaaru Inn
327,Hirara,JP,84.49,clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
328,Auki,SB,84.52,scattered clouds,-8.77,160.7,Auki Motel
335,Bilma,NE,90.34,scattered clouds,18.69,12.92,Expeditions Ténére voyages
341,Tevaitoa,PF,76.17,scattered clouds,-16.78,-151.5,Hôtel Raiatea Lodge
343,Georgetown,MY,80.89,thunderstorm,5.41,100.34,Cititel Penang
345,Los Llanos De Aridane,ES,76.75,clear sky,28.66,-17.92,Valle Aridane
349,Aswan,EG,87.31,clear sky,24.09,32.91,Nuba Nile
351,Alta Floresta,BR,80.13,few clouds,-9.88,-56.09,Floresta Amazonica Hotel
352,Nabire,ID,77.34,scattered clouds,-3.37,135.48,Hotel Nusantara I
355,Carora,VE,84.4,broken clouds,10.18,-70.08,Hotel Irpinia
356,Bandarbeyla,SO,76.68,scattered clouds,9.49,50.81,JABIR HOTEL
358,Palmer,US,78.66,scattered clouds,42.16,-72.33,Wedgewood Motel
361,Benemerito De Las Americas,MX,85.62,broken clouds,16.52,-90.64,Hotel Fontera Sur
362,Chardara,KZ,81.81,clear sky,41.25,67.97,Жанаргул
363,Blacklick Estates,US,75.61,overcast clouds,39.91,-82.86,Hampton Inn Columbus I-70E/Hamilton Rd.
364,The Valley,AI,82.54,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
367,Nouakchott,MR,82.33,clear sky,18.09,-15.98,HOTEL IMAN
368,Rio Branco,BR,83.01,scattered clouds,-9.97,-67.81,Hotel Guapindaia Bosque
371,Arlit,NE,96.85,scattered clouds,18.74,7.39,Hôtel Telwa Bungalow
